time = 	1
x	y	z	u*	u	|u* - u|
			-0,737393715541245	-0,595070290639018	0,142323424902227
1,4	1,4	2,4	0,169967142900241	0,171042819387972	0,00107567648773077
			-0,737393715541245	-0,630450800911864	0,106942914629381
			0,169967142900241	0,162372166454875	0,00759497644536641
1,4	2,4	2,4	-0,737393715541245	-0,602587727109802	0,134805988431444
			-0,737393715541245	-0,63045080091368	0,106942914627565
			0,169967142900241	0,171042819387	0,00107567648675935
1,4	3,4	2,4	-0,966798192579461	-0,80409604599045	0,162702146589011
			-0,737393715541245	-0,630450800901441	0,106942914639805
			0,169967142900241	0,173587384272301	0,00362024137206018
2,4	1,4	2,4	0,169967142900241	0,171042819384728	0,00107567648448703
			-0,737393715541245	-0,602587727119721	0,134805988421525
			-0,737393715541245	-0,630450800916593	0,106942914624652
2,4	2,4	2,4	-0,737393715541245	-0,602587727104664	0,134805988436581
			-0,737393715541245	-0,602587727114086	0,13480598842716
			-0,737393715541245	-0,602587727114168	0,134805988427078
2,4	3,4	2,4	-0,966798192579461	-0,804096045989791	0,16270214658967
			-0,737393715541245	-0,602587727105512	0,134805988435733
			-0,737393715541245	-0,595070290635172	0,142323424906074
1,4	1,4	3,4	0,169967142900241	0,173587384278305	0,00362024137806416
			-0,966798192579461	-0,837153496311426	0,129644696268035
			0,169967142900241	0,162372166461564	0,00759497643867751
1,4	2,4	3,4	-0,737393715541245	-0,595070290638958	0,142323424902287
			-0,966798192579461	-0,837153496310457	0,129644696269004
			0,169967142900241	0,171042819390238	0,00107567648999676
1,4	3,4	3,4	-0,966798192579461	-0,795683633006781	0,17111455957268
			-0,966798192579461	-0,837153496307819	0,129644696271642
			0,169967142900241	0,173587384292943	0,00362024139270156
2,4	1,4	3,4	0,169967142900241	0,173587384277124	0,00362024137688277
			-0,966798192579461	-0,804096046001269	0,162702146578192
			-0,737393715541245	-0,630450800898626	0,10694291464262
2,4	2,4	3,4	-0,737393715541245	-0,595070290633548	0,142323424907697
			-0,966798192579461	-0,804096045994132	0,162702146585329
